2025-04-16 14:09:23,262 INFO    MainThread:46088 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-16 14:09:23,264 INFO    MainThread:46088 [wandb_setup.py:_flush():67] Configure stats pid to 46088
2025-04-16 14:09:23,264 INFO    MainThread:46088 [wandb_setup.py:_flush():67] Loading settings from C:\Users\KHOI TUAN\.config\wandb\settings
2025-04-16 14:09:23,264 INFO    MainThread:46088 [wandb_setup.py:_flush():67] Loading settings from D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\settings
2025-04-16 14:09:23,264 INFO    MainThread:46088 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-16 14:09:23,264 INFO    MainThread:46088 [wandb_init.py:setup_run_log_directory():662] Logging user logs to D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\run-20250416_140923-03grvate\logs\debug.log
2025-04-16 14:09:23,272 INFO    MainThread:46088 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\run-20250416_140923-03grvate\logs\debug-internal.log
2025-04-16 14:09:23,272 INFO    MainThread:46088 [wandb_init.py:init():781] calling init triggers
2025-04-16 14:09:23,272 INFO    MainThread:46088 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'sh_degree': 3, 'source_path': 'D:\\Sem 242\\Specialized project\\mip', 'model_path': './output/d41f8585-8', 'images': 'images', 'depths': '', 'resolution': -1, 'white_background': False, 'train_test_exp': False, 'data_device': 'cuda', 'eval': False, '_wandb': {}}
2025-04-16 14:09:23,272 INFO    MainThread:46088 [wandb_init.py:init():809] starting backend
2025-04-16 14:09:23,272 INFO    MainThread:46088 [wandb_init.py:init():813] sending inform_init request
2025-04-16 14:09:23,302 INFO    MainThread:46088 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-16 14:09:23,302 INFO    MainThread:46088 [wandb_init.py:init():823] backend started and connected
2025-04-16 14:09:23,303 INFO    MainThread:46088 [wandb_init.py:init():915] updated telemetry
2025-04-16 14:09:23,371 INFO    MainThread:46088 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-16 14:09:24,313 INFO    MainThread:46088 [wandb_init.py:init():1014] starting run threads in backend
2025-04-16 14:09:24,586 INFO    MainThread:46088 [wandb_run.py:_console_start():2454] atexit reg
2025-04-16 14:09:24,586 INFO    MainThread:46088 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-16 14:09:24,586 INFO    MainThread:46088 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-16 14:09:24,586 INFO    MainThread:46088 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-16 14:09:24,589 INFO    MainThread:46088 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-16 14:09:25,983 INFO    MsgRouterThr:46088 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
