2025-04-16 14:50:31,993 INFO    MainThread:50160 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-16 14:50:31,995 INFO    MainThread:50160 [wandb_setup.py:_flush():67] Configure stats pid to 50160
2025-04-16 14:50:31,995 INFO    MainThread:50160 [wandb_setup.py:_flush():67] Loading settings from C:\Users\KHOI TUAN\.config\wandb\settings
2025-04-16 14:50:31,995 INFO    MainThread:50160 [wandb_setup.py:_flush():67] Loading settings from D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\settings
2025-04-16 14:50:31,995 INFO    MainThread:50160 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-16 14:50:31,995 INFO    MainThread:50160 [wandb_init.py:setup_run_log_directory():662] Logging user logs to D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\run-20250416_145031-bpm1ie0u\logs\debug.log
2025-04-16 14:50:31,996 INFO    MainThread:50160 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to D:\Sem 242\gaussian-splatting-benchmark\gaussian-splatting\wandb\run-20250416_145031-bpm1ie0u\logs\debug-internal.log
2025-04-16 14:50:31,996 INFO    MainThread:50160 [wandb_init.py:init():781] calling init triggers
2025-04-16 14:50:31,996 INFO    MainThread:50160 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'model_paths': ['D:\\Sem 242\\Specialized project\\3dgs_pretrained_models\\drjohnson'], '_wandb': {}}
2025-04-16 14:50:31,996 INFO    MainThread:50160 [wandb_init.py:init():809] starting backend
2025-04-16 14:50:31,996 INFO    MainThread:50160 [wandb_init.py:init():813] sending inform_init request
2025-04-16 14:50:32,015 INFO    MainThread:50160 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-16 14:50:32,015 INFO    MainThread:50160 [wandb_init.py:init():823] backend started and connected
2025-04-16 14:50:32,016 INFO    MainThread:50160 [wandb_init.py:init():915] updated telemetry
2025-04-16 14:50:32,070 INFO    MainThread:50160 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-16 14:50:32,796 INFO    MainThread:50160 [wandb_init.py:init():1014] starting run threads in backend
2025-04-16 14:50:32,961 INFO    MainThread:50160 [wandb_run.py:_console_start():2454] atexit reg
2025-04-16 14:50:32,961 INFO    MainThread:50160 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-16 14:50:32,961 INFO    MainThread:50160 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-16 14:50:32,961 INFO    MainThread:50160 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-16 14:50:32,965 INFO    MainThread:50160 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-16 14:51:17,229 INFO    MsgRouterThr:50160 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
